,tags,LABEL,count_suno,count_udio,total,length,is_genre,is_instrument,POS,is_voice,is_bpm,is_year,is_key,is_structure
191,120 bpm,BPM,21.0,2.0,23.0,7.0,False,False,"NUM, NOUN",False,True,False,False,False
198,120bpm,BPM,16.0,0.0,16.0,6.0,False,False,NUM,False,True,False,False,False
216,130 bpm,BPM,12.0,2.0,14.0,7.0,False,False,"NUM, NOUN",False,True,False,False,False
225,140 bpm,BPM,12.0,1.0,13.0,7.0,False,False,"NUM, NOUN",False,True,False,False,False
899,90 bpm,BPM,15.0,0.0,15.0,6.0,False,False,"NUM, NOUN",False,True,False,False,False
637,60 bpm,BPM,11.0,0.0,11.0,6.0,False,False,"NUM, NOUN",False,True,False,False,False
8809,european music,GENRE/STYLE,0.0,27.0,27.0,14.0,True,False,"ADJ, NOUN",False,False,False,False,False
10772,grunge,GENRE/STYLE,198.0,147.0,345.0,6.0,True,False,NOUN,False,False,False,False,False
19017,sea shanty,GENRE/STYLE,59.0,29.0,88.0,10.0,True,False,"NOUN, NOUN",False,False,False,False,False
19007,screamo,GENRE/STYLE,47.0,33.0,80.0,7.0,True,False,NOUN,False,False,False,False,False
10951,guzheng,GENRE/STYLE,11.0,1.0,12.0,7.0,True,False,NOUN,False,False,False,False,False
10963,hair metal,GENRE/STYLE,19.0,53.0,72.0,10.0,True,False,"NOUN, NOUN",False,False,False,False,False
10966,hair rock,GENRE/STYLE,3.0,7.0,10.0,9.0,True,False,"NOUN, NOUN",False,False,False,False,False
10968,hair/glam metal,GENRE/STYLE,16.0,0.0,16.0,15.0,True,False,"NOUN, SYM, ADJ, NOUN",False,False,False,False,False
10978,halloween,GENRE/STYLE,13.0,6.0,19.0,9.0,True,False,PROPN,False,False,False,False,False
11065,hard dance,GENRE/STYLE,4.0,15.0,19.0,10.0,True,False,"ADJ, NOUN",False,False,False,False,False
11028,happy hardcore,GENRE/STYLE,14.0,11.0,25.0,14.0,True,False,"PROPN, PROPN",False,False,False,False,False
10715,groovy bassline,GENRE/STYLE,2.0,11.0,13.0,15.0,True,False,"ADJ, NOUN",False,False,False,False,False
11101,hard rock,GENRE/STYLE,477.0,813.0,1290.0,9.0,True,False,"ADJ, NOUN",False,False,False,False,False
