,tags,suno,udio,total,suno_percentage,udio_percentage,percentage_sum,is_genre,POS,is_instrument,is_voice,is_bpm,is_year,is_key,is_tempo,is_structure,LABEL
0,pop,2.0,7.0,9.0,5.0,3.888888888888889,8.88888888888889,True,VERB,False,False,False,False,False,False,False,GENRE
1,rock,1.0,5.0,6.0,2.5,2.7777777777777777,5.277777777777778,True,NOUN,False,False,False,False,False,False,False,GENRE
2,male vocalist,0.0,9.0,9.0,0.0,5.0,5.0,False,False,False,True,False,False,False,False,False,VOICE
3,female vocalist,0.0,7.0,7.0,0.0,3.888888888888889,3.888888888888889,False,False,False,True,False,False,False,False,False,VOICE
4,uplifting,0.0,5.0,5.0,0.0,2.7777777777777777,2.7777777777777777,False,VERB,False,False,False,False,False,False,False,QUALIFIER
5,bounce drop,1.0,0.0,1.0,2.5,0.0,2.5,True,False,False,False,False,False,False,False,True,GENRE
6,some high notes in there,1.0,0.0,1.0,2.5,0.0,2.5,False,False,False,False,False,False,False,False,False,QUALIFIER
7,smooth soul,1.0,0.0,1.0,2.5,0.0,2.5,True,False,False,False,False,False,False,False,False,GENRE
8,relentless black metal distorted,1.0,0.0,1.0,2.5,0.0,2.5,True,False,False,False,False,False,False,False,False,GENRE
9,scratch classic,1.0,0.0,1.0,2.5,0.0,2.5,True,False,False,False,False,False,False,False,False,GENRE
10,catchy opera  singer,1.0,0.0,1.0,2.5,0.0,2.5,True,False,False,True,False,False,False,False,False,GENRE
11,cello,1.0,0.0,1.0,2.5,0.0,2.5,True,PROPN,True,False,False,False,False,False,False,GENRE
12,phonk 16 bit,1.0,0.0,1.0,2.5,0.0,2.5,True,False,False,False,False,False,False,False,False,GENRE
13,breakcore,1.0,0.0,1.0,2.5,0.0,2.5,True,VERB,False,False,False,False,False,False,True,GENRE
14,relaxed chill reggaeton,1.0,0.0,1.0,2.5,0.0,2.5,True,False,False,False,False,False,False,False,False,GENRE
15,beat,1.0,0.0,1.0,2.5,0.0,2.5,False,VERB,False,False,False,False,False,False,False,QUALIFIER
16,80s dj funk,1.0,0.0,1.0,2.5,0.0,2.5,True,False,False,False,False,True,False,False,False,GENRE
